@relation training_largemaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
1,16,1,1,1,0,5,10,South,South,South,South,South
1,15,1,1,1,0,4,10,South,South,South,South,South
1,14,1,1,1,0,5,10,South,South,South,South,South
1,13,1,1,0,0,4,10,South,South,South,South,South
1,12,1,1,1,0,4,9,South,South,South,South,South
1,11,1,1,0,0,5,9,South,South,South,South,South
1,10,1,1,0,0,5,9,South,South,South,South,South
1,9,1,1,0,0,5,9,South,South,South,South,South
1,8,1,1,0,0,5,9,South,South,South,South,South
1,7,1,1,0,0,4,9,East,East,East,East,East
1,6,1,1,1,0,4,9,East,East,East,East,East
2,6,0,1,1,1,5,9,East,East,East,East,East
3,6,1,1,1,1,5,10,East,East,East,East,East
4,6,1,1,1,1,5,10,North,East,East,East,North
5,6,1,1,1,1,5,9,North,East,East,East,North
5,7,1,1,1,1,4,9,West,East,East,East,West
5,8,1,1,1,1,6,3,Stop,South,South,North,South
4,8,1,1,1,1,7,3,Stop,East,East,East,East
4,7,1,1,1,1,7,3,Stop,East,East,East,East
5,7,1,1,1,1,7,3,Stop,South,South,South,South
6,7,1,1,0,1,7,3,Stop,East,East,East,East
6,6,1,0,1,1,6,3,Stop,East,East,East,East
7,6,0,0,1,1,5,3,Stop,South,East,East,South
8,6,1,1,1,1,5,3,Stop,South,South,South,South
8,5,1,1,1,0,6,3,Stop,South,South,South,South
8,4,1,1,1,0,6,3,Stop,West,West,West,West
8,3,1,0,1,1,5,3,Stop,West,West,West,West
7,3,0,0,1,1,14,6,Stop,Stop,West,West,West
6,3,0,0,1,1,13,6,Stop,Stop,North,North,North
5,3,1,0,1,1,13,5,Stop,Stop,North,North,North
5,4,1,1,0,1,14,5,Stop,Stop,North,North,North
5,5,1,1,0,1,14,6,Stop,Stop,East,East,East
5,6,1,1,1,1,14,6,Stop,Stop,East,East,East
6,6,1,0,1,1,13,6,Stop,Stop,East,East,East
7,6,0,0,1,1,13,6,Stop,Stop,East,East,East
8,6,1,1,1,1,14,6,Stop,Stop,East,East,East
9,6,1,1,1,1,14,6,Stop,Stop,East,East,East
10,6,1,1,1,1,14,5,Stop,Stop,South,South,South
11,6,1,1,0,1,14,4,Stop,Stop,South,South,South
11,5,1,1,0,1,13,4,Stop,Stop,South,South,South
11,4,1,1,0,1,14,4,Stop,Stop,West,West,West
11,3,1,0,0,1,15,4,Stop,Stop,North,North,North
10,3,1,0,1,1,16,4,Stop,Stop,East,East,East
10,4,1,1,1,1,16,4,Stop,Stop,North,North,North
11,4,1,1,0,1,15,4,Stop,Stop,North,North,North
11,5,1,1,0,1,14,4,Stop,Stop,North,North,North
11,6,1,1,0,1,14,4,Stop,Stop,North,North,North
11,7,1,1,0,1,14,3,Stop,Stop,North,North,North
11,8,1,1,0,1,15,3,Stop,Stop,North,North,North
11,9,1,1,0,1,14,3,Stop,Stop,North,North,North
11,10,1,1,0,1,15,3,Stop,Stop,North,North,North
11,11,1,1,0,1,16,3,Stop,Stop,East,East,East
11,12,0,1,1,1,16,3,Stop,Stop,East,East,East
12,12,0,0,1,1,15,3,Stop,Stop,South,South,South
13,12,0,1,1,1,16,3,Stop,Stop,South,South,South
13,11,1,1,1,0,17,3,Stop,Stop,South,South,South
13,10,1,1,1,0,17,4,Stop,Stop,South,South,South
13,9,1,1,1,0,17,5,Stop,Stop,South,South,South
13,8,1,1,1,0,18,5,Stop,Stop,South,South,South
13,7,1,1,1,0,18,5,Stop,Stop,South,South,South
13,6,1,1,1,0,19,5,Stop,Stop,East,East,East
13,5,1,1,1,0,19,6,Stop,Stop,North,North,North
14,5,1,1,0,1,19,5,Stop,Stop,East,East,East
14,6,1,1,1,1,19,6,Stop,Stop,East,East,East
15,6,0,0,1,1,18,6,Stop,Stop,East,East,East
16,6,0,0,1,1,19,6,Stop,Stop,East,East,East
17,6,0,1,1,1,19,5,Stop,Stop,South,South,South
